Web_ID,Region_of_Incident,Reported_Date,Reported_Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_Description,Information_Source,Latitude,Longitude ,Migration_Route,URL,UNSD_Geographical_Grouping,Source_Quality
51591,Mediterranean,"March 28, 2019",2019,Mar,0,2,2,36,0,2,0,Presumed drowning,"Off the coast of Chios, Greece",Hellenic Coast Guard via IOM Greece,38.3623687,26.17250947,Eastern Mediterranean,Not Available,Uncategorized,5
51588,Mediterranean,"March 26, 2019",2019,Mar,4,0,4,11,3,0,1,Presumed drowning,"Off the coast of Ayvacık district, Çanakkale province, Turkey",Turkish Coast Guard via IOM Turkey,39.44197559,26.3788162,Eastern Mediterranean,http://bit.ly/2YmiPAN,Uncategorized,5
51589,Mediterranean,"March 26, 2019",2019,Mar,1,0,1,0,0,0,0,Presumed drowning,"Body recovered on Playa del Tarajal, Ceuta, Spain (Strait of Gibraltar)","Ceuta al día, El Pueblo de Ceuta",35.87190188,-5.343037666,Western Mediterranean,"http://bit.ly/2uyj7qO, http://bit.ly/2uwj5zC",Uncategorized,3
51590,Mediterranean,"March 26, 2019",2019,Mar,1,0,1,0,0,0,0,Presumed drowning,"Body recovered on beach near Tetouan, Morocco (Strait of Gibraltar)",El Pueblo de Ceuta,35.63511591,-5.275650104,Western Mediterranean,http://bit.ly/2uwj5zC,Uncategorized,1
51587,Central America,"March 25, 2019",2019,Mar,1,0,1,0,0,1,0,Fall from train,"Train tracks in Teacalco, Tlaxcala, Mexico","Megalópolis, Línea de contraste",19.33447518,-98.06982399,Unknown,"http://bit.ly/2uvDIvH, http://bit.ly/2TXAFLS",Central America,3
51580,US-Mexico Border,"March 23, 2019",2019,Mar,1,0,1,0,0,0,0,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,32.057499,-111.6660725,Unknown,http://www.humaneborders.info/,Northern America,5
51581,US-Mexico Border,"March 23, 2019",2019,Mar,1,0,1,0,0,0,0,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,32.057499,-111.6660725,Unknown,http://www.humaneborders.info/,Northern America,5
51585,Southeast Asia,"March 23, 2019",2019,Mar,8,2,10,0,1,0,0,Vehicle Accident,"Sa Setthi intersection in Tambon Ban Mai, Tha Muang district, Kanchanaburi, Thailand - en route to Myanmar","The Nation, Vietnam+",13.86570481,99.58724872,Unknown,"http://bit.ly/2YqrMsT, http://bit.ly/2TzbavA",South-eastern Asia,3
51586,Mediterranean,"March 23, 2019",2019,Mar,4,4,8,0,3,5,0,Presumed drowning,"Off the coast of Sfax, Tunisia","Shems FM, Tunisie Numérique, Kapitalis",35.31703447,11.07892826,Central Mediterranean,"http://bit.ly/2U1K4C4, http://bit.ly/2HJW70B, http://tiny.cc/ekhi4y, http://tiny.cc/rshi4y",Uncategorized,3
51578,US-Mexico Border,"March 21, 2019",2019,Mar,1,0,1,0,0,0,0,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,32.057499,-111.6660725,Unknown,http://www.humaneborders.info/,Northern America,5
