TOTAL,MALE,FEMALE,CHILDREN,MONTH,CODE,YEAR,TEMP
4,2,0,1,AUG,4,2019,86
238,12,6,2,JUL,4,2019,86
78,19,10,6,JUN,4,2019,86
107,,,,MAY,3,2019,68
63,,,,APR,3,2019,68
120,,,,MAR,3,2019,68
26,,,,FEB,2,2019,58
208,,,,JAN,2,2019,58
106,,,,DEC,2,2018,58
149,,,,NOV,1,2018,75
189,,,,OCT,1,2018,75
241,,,,SEP,1,2018,75
97,,,,AUG,4,2018,86
224,,,,JUL,4,2018,86
629,,,,JUN,4,2018,86
48,,,,MAY,3,2018,68
109,,,,APR,3,2018,68
67,,,,MAR,3,2018,68
197,,,,FEB,2,2018,58
243,,,,JAN,2,2018,58
26,,,,DEC,2,2017,58
262,,,,NOV,1,2017,75
176,,,,OCT,1,2017,75
115,,,,SEP,1,2017,75
151,,,,AUG,4,2017,86
132,,,,JUL,4,2017,86
539,,,,JUN,4,2017,86
623,,,,MAY,3,2017,68
312,,,,APR,3,2017,68
318,,,,MAR,3,2017,68
231,,,,FEB,2,2017,58
254,,,,JAN,2,2017,58
386,,,,DEC,2,2016,58
718,,,,NOV,1,2016,75
437,,,,OCT,1,2016,75
368,,,,SEP,1,2016,75
62,,,,AUG,4,2016,86
226,,,,JUL,4,2016,86
389,,,,JUN,4,2016,86
1178,,,,MAY,3,2016,68
630,,,,APR,3,2016,68
324,,,,MAR,3,2016,68
55,,,,FEB,2,2016,58
370,,,,JAN,2,2016,58
215,,,,DEC,2,2015,58
107,,,,NOV,1,2015,75
433,,,,OCT,1,2015,75
269,,,,SEP,1,2015,75
689,,,,AUG,4,2015,86
230,,,,JUL,4,2015,86
33,,,,JUN,4,2015,86
96,,,,MAY,3,2015,68
1494,,,,APR,3,2015,68
61,,,,MAR,3,2015,68
345,,,,FEB,2,2015,58
82,,,,JAN,2,2015,58
99,,,,DEC,2,2014,58
22,,,,NOV,1,2014,75
126,,,,OCT,1,2014,75
813,,,,SEP,1,2014,75
616,,,,AUG,4,2014,86
864,,,,JUL,4,2014,86
318,,,,JUN,4,2014,86
329,,,,MAY,3,2014,68
50,,,,APR,3,2014,68
10,,,,MAR,3,2014,68
24,,,,FEB,2,2014,58
12,,,,JAN,2,2014,58
