TOTAL,MALE,FEMALE,CHILDREN,MONTH,CODE,YEAR,TEMP
4,2,0,1,AUG,4,2019,86
238,12,6,2,JUL,4,2019,86
78,19,10,6,JUN,4,2019,86
107,18,12,6,MAY,3,2019,68
63,6,1,1,APR,3,2019,68
120,11,13,6,MAR,3,2019,68
26,4,2,3,FEB,2,2019,58
208,9,13,4,JAN,2,2019,58
106,27,6,4,DEC,2,2018,58
149,81,10,7,NOV,1,2018,75
189,15,17,20,OCT,1,2018,75
241,16,22,22,SEP,1,2018,75
97,16,9,8,AUG,4,2018,86
224,98,25,9,JUL,4,2018,86
629,92,56,12,JUN,4,2018,86
48,10,3,5,MAY,3,2018,68
109,24,2,2,APR,3,2018,68
67,40,11,9,MAR,3,2018,68
197,49,11,8,FEB,2,2018,58
243,11,14,11,JAN,2,2018,58
26,10,1,2,DEC,2,2017,58
262,38,53,10,NOV,1,2017,75
176,16,0,1,OCT,1,2017,75
115,5,3,2,SEP,1,2017,75
151,108,35,0,AUG,4,2017,86
132,13,16,12,JUL,4,2017,86
539,63,20,4,JUN,4,2017,86
623,18,61,18,MAY,3,2017,68
312,92,29,9,APR,3,2017,68
318,23,6,7,MAR,3,2017,68
231,77,1,4,FEB,2,2017,58
254,19,7,5,JAN,2,2017,58
386,13,6,8,DEC,2,2016,58
718,144,12,4,NOV,1,2016,75
437,115,17,11,OCT,1,2016,75
368,33,14,1,SEP,1,2016,75
62,11,5,3,AUG,4,2016,86
226,21,23,5,JUL,4,2016,86
389,1,12,0,JUN,4,2016,86
1178,3,12,41,MAY,3,2016,68
630,1,8,3,APR,3,2016,68
324,4,4,18,MAR,3,2016,68
55,4,3,14,FEB,2,2016,58
370,51,59,62,JAN,2,2016,58
215,23,26,77,DEC,2,2015,58
107,17,11,30,NOV,1,2015,75
433,59,42,95,OCT,1,2015,75
269,28,35,55,SEP,1,2015,75
689,117,30,6,AUG,4,2015,86
230,17,6,1,JUL,4,2015,86
33,3,2,0,JUN,4,2015,86
96,48,0,2,MAY,3,2015,68
1494,46,3,1,APR,3,2015,68
61,0,0,0,MAR,3,2015,68
345,29,0,0,FEB,2,2015,58
82,21,0,0,JAN,2,2015,58
99,16,1,4,DEC,2,2014,58
22,0,0,1,NOV,1,2014,75
126,1,0,0,OCT,1,2014,75
813,0,0,2,SEP,1,2014,75
616,26,9,7,AUG,4,2014,86
864,2,3,4,JUL,4,2014,86
318,49,0,0,JUN,4,2014,86
329,4,12,4,MAY,3,2014,68
50,0,2,1,APR,3,2014,68
10,1,1,1,MAR,3,2014,68
24,2,0,0,FEB,2,2014,58
12,1,9,3,JAN,2,2014,58
