TOTAL,MALE,FEMALE,CHILDREN,MONTH,CODE,YEAR
14,12,0,0,AUG,4,2019
42,25,8,1,JUL,4,2019
59,37,13,4,JUN,4,2019
34,21,3,2,MAY,3,2019
37,28,1,1,APR,3,2019
11,3,2,1,MAR,3,2019
23,13,2,0,FEB,2,2019
29,13,1,1,JAN,2,2019
31,17,3,4,DEC,2,2018
29,18,2,2,NOV,1,2018
26,16,2,0,OCT,1,2018
35,26,1,0,SEP,1,2018
82,24,4,0,AUG,4,2018
36,25,5,0,JUL,4,2018
63,37,1,0,JUN,4,2018
33,22,2,0,MAY,3,2018
25,18,1,0,APR,3,2018
26,21,4,0,MAR,3,2018
30,22,1,0,FEB,2,2018
25,20,1,2,JAN,2,2018
96,27,3,0,DEC,2,2017
23,16,1,0,NOV,1,2017
22,11,1,0,OCT,1,2017
27,21,2,0,SEP,1,2017
33,28,1,1,AUG,4,2017
43,38,3,2,JUL,4,2017
42,33,7,2,JUN,4,2017
28,25,0,0,MAY,3,2017
14,12,0,0,APR,3,2017
12,10,0,0,MAR,3,2017
34,20,1,0,FEB,2,2017
43,31,3,0,JAN,2,2017
53,14,1,0,DEC,2,2016
17,11,1,0,NOV,1,2016
24,21,2,0,OCT,1,2016
58,29,1,1,SEP,1,2016
39,28,7,5,AUG,4,2016
74,38,2,0,JUL,4,2016
40,30,5,1,JUN,4,2016
21,16,0,1,MAY,3,2016
16,14,1,0,APR,3,2016
20,14,1,0,MAR,3,2016
21,10,0,0,FEB,2,2016
18,12,1,0,JAN,2,2016
138,8,3,0,DEC,2,2015
20,18,0,0,NOV,1,2015
17,11,3,0,OCT,1,2015
27,15,2,0,SEP,1,2015
34,30,1,0,AUG,4,2015
22,18,0,2,JUL,4,2015
24,17,3,0,JUN,4,2015
15,5,0,0,MAY,3,2015
11,5,3,0,APR,3,2015
10,9,0,0,MAR,3,2015
12,7,3,0,FEB,2,2015
9,8,0,0,JAN,2,2015
0,0,0,0,DEC,2,2014
0,0,0,0,NOV,1,2014
0,0,0,0,OCT,1,2014
160,4,0,0,SEP,1,2014
59,3,0,0,AUG,4,2014
14,5,0,1,JUL,4,2014
20,8,2,0,JUN,4,2014
11,5,0,0,MAY,3,2014
12,5,0,0,APR,3,2014
10,2,2,0,MAR,3,2014
8,2,0,0,FEB,2,2014
12,3,0,0,JAN,2,2014
